Date,Open,High,Low,Close,Volume,Adj Close,Change
2013-11-05,1765.67,1767.03,1755.76,1762.97,3516680000,1762.97,-0.002805541
2013-11-04,1763.4,1768.78,1761.56,1767.93,3194870000,1767.93,0.003570537
2013-11-01,1758.7,1765.67,1752.7,1761.64,3686290000,1761.64,0.002903435
2013-10-31,1763.24,1768.53,1755.72,1756.54,3826530000,1756.54,-0.00383937
2013-10-30,1772.27,1775.22,1757.24,1763.31,3523040000,1763.31,-0.004875984
2013-10-29,1762.93,1772.09,1762.93,1771.95,3358460000,1771.95,0.005584214
2013-10-28,1759.42,1764.99,1757.67,1762.11,3282300000,1762.11,0.001329719
2013-10-25,1756.01,1759.82,1752.45,1759.77,3175720000,1759.77,0.004394802
2013-10-24,1747.48,1753.94,1745.5,1752.07,3671700000,1752.07,0.003258168
2013-10-23,1752.27,1752.27,1740.5,1746.38,3713380000,1746.38,-0.004724535
2013-10-22,1746.48,1759.33,1746.48,1754.67,3850840000,1754.67,0.005737508
2013-10-21,1745.2,1747.79,1740.67,1744.66,3052710000,1744.66,9.17168E-05
2013-10-18,1736.72,1745.31,1735.74,1744.5,3664890000,1744.5,0.00654877
2013-10-17,1720.17,1733.45,1714.12,1733.15,3453590000,1733.15,0.006743962
2013-10-16,1700.49,1721.76,1700.49,1721.54,3486180000,1721.54,0.013827544
2013-10-15,1709.17,1711.57,1695.93,1698.06,3327740000,1698.06,-0.007063749
2013-10-14,1699.86,1711.03,1692.13,1710.14,2580580000,1710.14,0.004074683
2013-10-11,1691.09,1703.44,1688.52,1703.2,2944670000,1703.2,0.006286335
2013-10-10,1660.88,1692.56,1660.88,1692.56,3362300000,1692.56,0.021830476
2013-10-09,1656.99,1662.47,1646.47,1656.4,3577840000,1656.4,0.000573862
2013-10-08,1676.22,1676.79,1655.03,1655.45,3569230000,1655.45,-0.012332053
2013-10-07,1687.15,1687.15,1674.7,1676.12,2678490000,1676.12,-0.008506359
2013-10-04,1678.79,1691.94,1677.33,1690.5,2880270000,1690.5,0.007053245
2013-10-03,1692.35,1692.35,1670.36,1678.66,3279650000,1678.66,-0.008979438
2013-10-02,1691.9,1693.87,1680.34,1693.87,3148600000,1693.87,-0.000666667
2013-10-01,1682.41,1696.55,1682.07,1695,3238690000,1695,0.007998573
2013-09-30,1687.26,1687.26,1674.99,1681.55,3308630000,1681.55,-0.00602926
2013-09-27,1695.52,1695.52,1687.11,1691.75,2951700000,1691.75,-0.004073775
2013-09-26,1694.05,1703.85,1693.11,1698.67,2813930000,1698.67,0.003485411
2013-09-25,1698.02,1701.71,1691.88,1692.77,3148730000,1692.77,-0.002739452
2013-09-24,1702.6,1707.63,1694.9,1697.42,3268930000,1697.42,-0.002597189
2013-09-23,1711.44,1711.44,1697.1,1701.84,3126950000,1701.84,-0.004719547
2013-09-20,1722.44,1725.23,1708.89,1709.91,5074030000,1709.91,-0.007216926
2013-09-19,1727.34,1729.86,1720.2,1722.34,3740130000,1722.34,-0.001842923
2013-09-18,1705.74,1729.44,1700.35,1725.52,3989760000,1725.52,0.012177667
2013-09-17,1697.73,1705.52,1697.73,1704.76,2774240000,1704.76,0.004217719
2013-09-16,1691.7,1704.95,1691.7,1697.6,3079800000,1697.6,0.005693162
